"spec","long_name","short_name","description"
"Check","check.acfsquared","ac2","autocorrelation function of squared residuals with standard errors and Ljung-Box Q-statistics computed through each lag"
"Check","check.acf","acf","autocorrelation function of residuals with standard errors and Ljung-Box Q-statistics computed through each lag"
"Check","check.pacf","pcf","partial autocorrelation function of residuals with standard errors"
"Composite","composite.adjcompositesrs","b1","aggregated time series data, prior adjusted, with associated dates"
"Composite","composite.calendaradjcomposite","cac","aggregated time series data, adjusted for regARIMA calendar effects."
"Composite","composite.compositesrs","cms","aggregated time series data, with associated dates"
"Composite","composite.indrevsachanges","i6a","percent changes for indirect seasonally adjusted series with revised yearly totals"
"Composite","composite.indrndsachanges","i6r","percent changes (differences) in the rounded indirect seasonally adjusted series"
"Composite","composite.prioradjcomposite","ia3","composite series adjusted for user-defined prior adjustments applied at the component level"
"Composite","composite.indadjsatot","iaa","final indirect seasonally adjusted series, with yearly totals adjusted to match the original series"
"Composite","composite.indadjustfac","iaf","final combined adjustment factors for the indirect seasonal adjustment"
"Composite","composite.indaoutlier","iao","final indirect AO outliers"
"Composite","composite.indcalendar","ica","final calendar factors for the indirect seasonal adjustment"
"Composite","composite.indunmodsi","id8","final unmodified SI-ratios (differences) for the indirect adjustment"
"Composite","composite.indreplacsi","id9","final replacement values for extreme SI-ratios (differences) for the indirect adjustment"
"Composite","composite.indmodoriginal","ie1","original series modified for extreme values from the indirect seasonal adjustment"
"Composite","composite.indmodsadj","ie2","seasonally adjusted series modified for extreme values from the indirect seasonal adjustment"
"Composite","composite.indmodirr","ie3","irregular component modified for extreme values from the indirect seasonal adjustment"
"Composite","composite.origchanges","ie5","percent changes (differences) in the original series"
"Composite","composite.indsachanges","ie6","percent changes (differences) in the indirect seasonally adjusted series"
"Composite","composite.indtrendchanges","ie7","percent changes (differences) in the indirect final trend component"
"Composite","composite.indrobustsa","iee","final indirect seasonally adjusted series modified for extreme values"
"Composite","composite.indmcdmovavg","if1","MCD moving average of the final indirect seasonally adjusted series"
"Composite","composite.indirregular","iir","final irregular component for the indirect adjustment"
"Composite","composite.indlevelshift","ils","final indirect LS outliers"
"Composite","composite.indsadjround","irn","rounded indirect seasonally adjusted series"
"Composite","composite.indseasadj","isa","final indirect seasonally adjusted series"
